@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_19 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_7 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_7 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_12 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_15 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_1 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_F# numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_LowBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_PeriodicCentroid1 numeric

@data

0.279549,0.08149,0.414027,0.465012,0.456263,0.627967,2.018093,0.027788,1.097532,0.296028,0.584928,0.819305,0.779947,0.22821,0.201119,0.178987,0.167469,0.138882,0.049408,0.071681,0.399034,0.305245,0.179199,0.309776,0.516006,0.119509,0.13035,0.101665,0.226626,0.128882,0.000589,0.038892,17107.248376,76.585005,65,0.528621,1.006696,0.001096,0.445124
0.238906,0.091942,0.415696,0.415352,0.405086,0.635524,2.01022,0.033648,1.096264,0.291027,0.684884,0.884866,0.888707,0.235931,0.225504,0.189604,0.187097,0.167422,0.04782,0.062759,0.33109,0.229581,0.193594,0.25644,0.442259,0.111919,0.09248,0.075988,0.170459,0.098991,0.000481,0.037296,10898.236287,66.551376,62,0.489286,1.009909,0.001325,0.399949
0.131095,0.084737,0.41558,0.42295,0.43184,0.623894,2.029843,0.029051,0.965787,0.282302,0.483253,0.879784,0.726086,0.224223,0.207789,0.178443,0.17375,0.145293,0.033094,0.047685,0.582969,0.435116,0.195991,0.22917,0.785032,0.103572,0.087644,0.115742,0.264205,0.088666,0.000111,0.02768,17112.640228,76.187843,65,0.540416,1.006589,0.001099,0.439046
0.1211,0.087021,0.438846,0.40499,0.331703,0.63999,1.979549,0.029392,1.195613,0.29831,0.51331,0.750601,0.754879,0.193804,0.196411,0.185471,0.16415,0.15023,0.046504,0.036978,0.242753,0.223819,0.165911,0.2264,0.425498,0.098777,0.094084,0.073494,0.162623,0.074903,0.000023,0.032934,10129.611342,28.988901,62.25,0.516576,1.005399,0.001104,0.442348
0.156375,0.095779,0.346251,0.37441,0.385506,0.588609,2.049694,0.039206,1.546807,0.293193,0.618275,0.90895,0.828222,0.233271,0.222355,0.204702,0.209197,0.201614,0.03875,0.041357,0.269796,0.201318,0.189997,0.262958,0.535835,0.108065,0.083524,0.072098,0.213845,0.088354,0.000208,0.031797,12028.971403,76.209357,59.75,0.567001,1.008979,0.001285,0.479754
0.214592,0.098043,0.431561,0.431867,0.385866,0.626627,1.981844,0.038783,0.753258,0.296255,0.549575,0.921816,0.926118,0.2062,0.202847,0.196687,0.177109,0.150223,0.040026,0.063655,0.248214,0.46813,0.178036,0.287638,0.670689,0.107639,0.162544,0.111856,0.177557,0.108666,0.000029,0.045178,7847.826224,41.262079,63.25,0.536434,1.009673,0.001511,0.4073
0.08638,0.085118,0.420063,0.422474,0.427175,0.579649,1.957197,0.032969,0.919706,0.291468,0.568221,0.727148,0.727145,0.220818,0.206712,0.186316,0.163689,0.154476,0.036746,0.041585,0.469829,0.221098,0.212678,0.330961,0.536252,0.114682,0.136549,0.09986,0.245274,0.134855,0.000153,0.044986,10512.783418,27.733604,78.5,0.599609,1.005219,0.001237,0.525598
0.351897,0.091005,0.33702,0.413667,0.344757,0.706217,2.019975,0.030263,0.947292,0.297911,0.550474,0.769531,0.716169,0.230527,0.209545,0.184165,0.177257,0.149904,0.069084,0.068726,0.33861,0.441147,0.167835,0.260206,0.691278,0.096846,0.101482,0.146181,0.151129,0.128946,0.000105,0.031758,13136.001956,106.868549,62,0.591386,1.007837,0.001229,0.471959
0.217232,0.084962,0.451806,0.453994,0.395081,0.615802,1.949011,0.039294,1.183902,0.273498,0.487372,0.737438,0.689742,0.19261,0.18664,0.179949,0.197278,0.150657,0.069369,0.101901,0.485552,0.304656,0.182581,0.221029,0.479129,0.09268,0.110054,0.077049,0.369945,0.094232,0.000033,0.045271,7654.402915,46.484165,62.25,0.54223,1.008698,0.001198,0.437544
