@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_F numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_D numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_9 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_12 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_13 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_17 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_8 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_17 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_Flatness numeric
@attribute BeatHisto_PeriodicCentroi2 numeric
@attribute BeatHisto_PeriodicSpread1 numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.037871,0.030322,0.042178,7.067382,0.118388,0.000173,1.440053,4.353647,0.320576,0.105394,0.555759,0.010197,0.025549,0.849498,0.0001,0.219753,0.196972,0.177427,0.170574,0.161012,0.147475,0.145764,0.021088,0.427327,0.278028,0.348376,0.295584,0.355679,0.13773,0.115561,0.096263,0.094151,0.0642,0.07734,0.024894,0.036454,0.075104,0.133031,0.261249,0.014301,0.516753,0.127938,0.039611,0.042088,0.055133,0.203676,5661.698418,15.120646,11.995348,0.001557,0.562391,0.327642,51.80926,3.311112,1.146065,1.007969,0.5274,0.876026,0.052213,75.81034,6.151463,314.7426,0.597739,0.016261,0.127378,0.123339,0.000273,0.002925,4794.357,1.221237,0,0.932756,0.133877,0,0.062764,0.002495,326.3267,22438.6
0.065974,0.038154,0.081733,5.062465,0.103789,0.000419,1.471107,4.342492,0.390328,0.107166,0.634132,0.027726,0.116069,1.13389,0.000257,0.21569,0.201397,0.206341,0.188577,0.175942,0.168283,0.176714,0.025185,0.423912,0.372568,0.213946,0.319513,0.290406,0.092989,0.108871,0.093114,0.081359,0.070589,0.087824,0.017836,0.035568,0.076221,0.154542,0.26248,0.023826,0.394392,0.133863,0.037334,0.040485,0.07187,0.205231,11561.879994,19.692784,21.163889,0.001563,0.534557,0.313809,85.70442,5.32043,1.383063,0.708305,1.184142,0.896258,0.05577,52.0623,6.662409,314.9877,1.483905,0.043802,0.090785,0.267236,0.000228,0.003588,2049.409,1.37635,0,0.876831,0.064631,0,0.10807,0.001444,420.0102,100852
0.062984,0.045771,0.081165,6.866933,0.043027,0.000204,1.575605,4.996641,0.246432,0.137287,0.532647,0.016795,0.050803,0.783174,0.000105,0.190961,0.180786,0.157333,0.147991,0.143527,0.141057,0.132708,0.021744,0.430708,0.59403,0.547094,0.306563,0.311045,0.1308,0.134492,0.143694,0.118367,0.125608,0.08684,0.022171,0.04206,0.07492,0.138174,0.258635,0.019219,0.637058,0.137243,0.044795,0.038644,0.060733,0.196749,8131.935602,16.619191,22.128819,0.001584,0.573542,0.32017,77.14972,4.83655,1.353481,0.535596,0.583553,0.889605,0.080361,110.5758,5.862444,405.6582,1.310656,0.024801,0.036399,0.070313,0.000241,0.003893,9283.686,0.76884,0,0.952064,0.113133,0,0.045669,0.002218,547.6121,97516
0.045602,0.032889,0.063263,6.064285,0.520484,0.000102,1.489242,3.689384,0.482272,0.128296,0.556777,0.016004,0.038101,0.845148,0.00008,0.193491,0.158637,0.175405,0.160304,0.163301,0.153488,0.146125,0.029339,0.364132,0.3278,0.364139,0.320083,0.295564,0.162306,0.131773,0.149629,0.201146,0.080543,0.062645,0.036788,0.06947,0.075106,0.138878,0.25893,0.017733,0.537129,0.123072,0.038327,0.036316,0.056374,0.206905,5357.362258,11.980588,14.83862,0.001484,0.554749,0.322329,55.49446,3.52865,1.167388,0.864337,0.613635,0.865713,0.120195,127.9712,6.351703,362.2691,1.333085,0.028899,0.091281,0.250679,0.000689,0.012607,13496.54,0.987929,0,0.786285,0.100864,0,0.168153,0.003615,391.137,96344.3
0.061627,0.048898,0.090893,6.065964,-0.011386,0.000113,1.546597,4.633117,0.220458,0.1349,0.576888,0.029925,0.077329,0.930025,0.000072,0.206914,0.187039,0.181856,0.173629,0.175436,0.1473,0.14211,0.029518,0.428051,0.340934,0.322282,0.33782,0.258447,0.106044,0.105316,0.085004,0.0991,0.090373,0.109822,0.024894,0.03808,0.068453,0.13216,0.257249,0.034164,0.450895,0.128687,0.044538,0.040621,0.050607,0.198691,4980.594985,14.281444,11.487449,0.00151,0.559457,0.31308,71.82804,4.57704,1.325353,0.729361,0.647629,0.884545,0.063008,83.69317,5.721067,626.8151,2.00331,0.036624,0.104797,0.155931,0.000218,0.003749,6015.114,1.122013,0,0.916112,0.130821,0,0.076902,0.002366,553.6899,319476.8
0.02677,0.023838,0.02832,9.354185,0.118822,0.000014,1.487803,4.44624,0.469259,0.089496,0.448402,0.003559,0.005597,0.811896,0.000016,0.204265,0.193602,0.171848,0.16412,0.173194,0.155463,0.177608,0.010901,0.598546,0.63643,0.555165,0.418913,0.444353,0.165525,0.161344,0.159643,0.12835,0.124751,0.112443,0.015217,0.021101,0.068111,0.14222,0.263662,0.002277,0.731748,0.203975,0.075723,0.071917,0.043891,0.206159,2609.263273,7.068549,8.198226,0.001542,0.573918,0.326257,44.63512,2.511394,0.978092,1.003257,0.509745,0.850223,0.092006,145.773,7.328512,424.9368,0.756055,0.021705,0.214258,0.239683,0.000852,0.008173,16467.86,4.220094,0,0.792277,0.109904,0,0.164684,0.004527,278.4424,3927.848
0.047825,0.038081,0.054241,7.350993,0.047357,0.000106,1.511952,4.594869,0.312651,0.135056,0.530524,0.01503,0.030802,0.85015,0.000117,0.204399,0.187083,0.193642,0.174246,0.165841,0.147392,0.144054,0.026724,0.407201,0.370368,0.434444,0.346413,0.301215,0.116185,0.120324,0.149166,0.101096,0.080548,0.124681,0.030665,0.031128,0.07484,0.139996,0.26972,0.025313,0.57674,0.11832,0.044257,0.042726,0.049752,0.204137,5821.221263,11.07381,14.123617,0.001582,0.549691,0.319019,59.78819,3.509987,1.168564,0.612096,0.440109,0.859195,0.089895,92.11612,6.592049,226.6486,0.476765,0.018642,0.081345,0.060465,0.000641,0.007278,3583.476,1.329246,0,0.887483,0.121459,0,0.099923,0.003041,440.9164,122202
0.04604,0.03847,0.05621,9.233508,0.330719,0.000138,1.498389,4.882565,0.345081,0.131427,0.495001,0.009245,0.019995,0.917036,0.000071,0.20422,0.189269,0.179607,0.161724,0.162138,0.152106,0.141224,0.02166,0.44238,0.33672,0.321339,0.25408,0.304882,0.115161,0.099406,0.114216,0.135215,0.100163,0.181548,0.025827,0.030883,0.07251,0.123985,0.271961,0.004865,0.582887,0.121478,0.033995,0.037694,0.052295,0.199514,6719.455754,13.26497,13.137036,0.001561,0.542516,0.316601,57.97261,3.185564,1.102469,0.610025,0.425021,0.870487,0.078518,86.15623,6.678225,195.6898,0.582637,0.018093,0.043366,0.052783,0.000389,0.004836,3879.19,0.997668,0,0.923435,0.11208,0,0.07075,0.002704,416.6789,17838.07
0.055936,0.034743,0.065087,5.889228,0.439849,0.000184,1.513743,4.252282,0.330134,0.118766,0.573041,0.019095,0.076358,0.96807,0.00011,0.21359,0.193188,0.187502,0.168776,0.167756,0.143701,0.150496,0.027258,0.448552,0.285656,0.29376,0.283959,0.286078,0.116644,0.131103,0.096721,0.090448,0.069585,0.059472,0.02123,0.04109,0.072434,0.133977,0.261599,0.00974,0.479009,0.123744,0.0326,0.03503,0.049382,0.201779,8418.926857,25.430886,46.876726,0.001482,0.582933,0.318813,75.21993,4.659546,1.312497,0.776454,1.095694,0.900061,0.10302,116.9336,6.304329,244.3274,1.029336,0.027854,0.06113,0.245293,0.000179,0.006222,8443.634,1.159797,0,0.904794,0.123601,0,0.0862,0.003941,371.3107,39903.07
