% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {romantic,notromantic}


@data
1.022827e+02,6.745529e+00,1.584340e+00,5.793695e-01,1.404288e+00,8.945391e-01,1.405315e-01,3.766644e+01,5.247164e+00,6.322726e+01,6.142294e-01,1.274629e-02,5.680421e-03,7.518968e-02,2.124663e-04,2.643612e-02,1.944623e+03,1.699817e-01,0.000000e+00,8.069241e-01,1.046037e-01,0.000000e+00,1.559014e-01,4.594505e-03,1.169098e+03,2.649236e+05,notromantic
9.691132e+01,6.372011e+00,1.547191e+00,5.612773e-01,1.185465e+00,8.932946e-01,9.263683e-02,4.415475e+01,5.228840e+00,3.881315e+02,1.176356e+00,1.876567e-02,2.467991e-02,1.229299e-01,1.655900e-04,1.008413e-02,2.949160e+03,4.633644e-01,0.000000e+00,9.800266e-01,1.242708e-01,0.000000e+00,1.958747e-02,2.757050e-03,1.016725e+03,1.923553e+05,notromantic
6.279319e+01,4.586298e+00,1.396702e+00,9.046762e-01,9.321931e-01,8.949426e-01,5.876429e-02,1.496793e+01,5.231251e+00,3.368017e+02,8.524208e-01,2.265505e-02,1.351632e-01,3.399924e-01,2.500435e-04,1.261938e-02,4.807814e+02,1.310367e+00,0.000000e+00,7.676431e-01,9.713326e-02,0.000000e+00,1.784860e-01,4.888495e-03,4.961106e+02,3.273416e+05,notromantic
9.345463e+01,5.991272e+00,1.485387e+00,6.670352e-01,1.454324e+00,9.030728e-01,6.140656e-02,1.976825e+01,5.644490e+00,2.001191e+02,6.324763e-01,1.187329e-02,3.028736e-02,5.330059e-01,1.449475e-04,6.761703e-03,5.618241e+02,5.556257e-01,0.000000e+00,9.001332e-01,1.278944e-01,0.000000e+00,8.995335e-02,4.893833e-03,7.175693e+02,1.545030e+05,notromantic
8.648917e+01,5.178074e+00,1.364704e+00,6.528275e-01,1.376088e+00,9.011921e-01,1.511466e-01,9.667280e+01,6.030396e+00,7.064239e+01,3.148633e-01,6.619121e-03,1.905217e-02,1.249780e-01,7.985611e-05,1.807908e-02,1.026309e+04,2.130348e-01,0.000000e+00,9.647137e-01,1.400853e-01,0.000000e+00,3.406384e-02,2.362787e-03,5.731120e+02,3.685933e+04,notromantic
5.534539e+01,3.938178e+00,1.322379e+00,7.139126e-01,4.295632e-01,8.841629e-01,6.639162e-02,2.413971e+01,5.105354e+00,3.194293e+02,7.060171e-01,2.750079e-02,5.079963e-02,8.231046e-02,1.927825e-04,1.096651e-02,7.125911e+02,1.388688e+00,0.000000e+00,8.914780e-01,1.286559e-01,0.000000e+00,9.680941e-02,2.695397e-03,5.532341e+02,5.016895e+05,notromantic
6.535186e+01,4.156690e+00,1.263663e+00,8.499022e-01,8.426999e-01,8.938427e-01,4.740830e-02,2.197851e+01,6.114048e+00,2.872550e+02,7.399955e-01,1.630483e-02,9.876023e-02,2.330985e-01,2.051654e-04,5.222579e-03,9.986509e+02,8.824440e-01,0.000000e+00,8.122503e-01,1.103598e-01,0.000000e+00,1.526013e-01,4.557784e-03,3.457262e+02,3.679239e+04,notromantic
9.077695e+01,5.969514e+00,1.503183e+00,5.643885e-01,1.233892e+00,8.984511e-01,1.033413e-01,5.013089e+01,5.390502e+00,4.001663e+02,1.022237e+00,1.653305e-02,2.461959e-02,4.122104e-01,1.854030e-04,1.433712e-02,4.011944e+03,9.101017e-01,0.000000e+00,9.474035e-01,1.125161e-01,0.000000e+00,4.986334e-02,2.832893e-03,7.548105e+02,2.665661e+05,notromantic
9.077695e+01,5.969514e+00,1.503183e+00,5.643885e-01,1.233892e+00,8.984511e-01,1.033413e-01,5.013089e+01,5.390502e+00,4.001663e+02,1.022237e+00,1.653305e-02,2.461959e-02,4.122104e-01,1.854030e-04,1.433712e-02,4.011944e+03,9.101017e-01,0.000000e+00,9.474035e-01,1.125161e-01,0.000000e+00,4.986334e-02,2.832893e-03,7.548105e+02,2.665661e+05,notromantic
6.773019e+01,4.460188e+00,1.357732e+00,6.888773e-01,5.861574e-01,8.857631e-01,8.674006e-02,6.236436e+01,5.408779e+00,2.045858e+02,7.581559e-01,2.453423e-02,3.389917e-02,5.595781e-02,1.993457e-04,6.899844e-03,3.284328e+03,9.238045e-01,0.000000e+00,7.969374e-01,1.245808e-01,0.000000e+00,1.619360e-01,4.652833e-03,6.307932e+02,3.311206e+05,notromantic
