@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_7 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_LowPeakAmp numeric

@data

0.04796,0.029013,0.063648,-51.192686,2.444898,0.928165,0.745544,0.390918,0.444205,4.566518,0.495516,0.09937,0.618989,1.085994,0.424153,0.42675,0.221106,0.388804,0.421802,0.174981,0.040637,0.020437,0.321396,0.374306,0.398157,0.720725,0.13694,0.109617,0.054342,3.712664,0.23751,0.042331,0.037952,0.161875,0.217068,9201.03356,45.981278
0.031721,0.021808,0.032471,-52.827072,1.257511,0.721857,0.939223,0.635801,0.067628,6.240143,0.392213,0.099202,0.551365,1.047051,0.437475,0.477282,0.315489,0.35625,0.442209,0.199297,0.049528,0.008299,0.407628,0.37843,0.524992,0.740883,0.14126,0.082991,0.106208,4.213933,0.167208,0.053075,0.049633,0.153401,0.213913,8554.999763,17.212242
0.031721,0.021808,0.032471,-52.827072,1.257511,0.721857,0.939223,0.635801,0.067628,6.240143,0.392213,0.099202,0.551365,1.047051,0.437475,0.477282,0.315489,0.35625,0.442209,0.199297,0.049528,0.008299,0.407628,0.37843,0.524992,0.740883,0.14126,0.082991,0.106208,4.213933,0.167208,0.053075,0.049633,0.153401,0.213913,8554.999763,17.212242
0.055345,0.044527,0.126253,-58.957116,-0.312037,1.546818,2.6615,-0.149147,-0.662667,5.015999,0.474609,0.142901,0.46895,1.067687,0.526475,0.504778,1.214979,0.456954,0.440616,0.210785,0.038056,0.020035,0.244449,0.277281,0.444283,0.435706,0.119396,0.083052,0.077562,3.79996,0.197054,0.034609,0.031461,0.153665,0.21675,4010.957035,26.986367
0.055345,0.044527,0.126253,-58.957116,-0.312037,1.546818,2.6615,-0.149147,-0.662667,5.015999,0.474609,0.142901,0.46895,1.067687,0.526475,0.504778,1.214979,0.456954,0.440616,0.210785,0.038056,0.020035,0.244449,0.277281,0.444283,0.435706,0.119396,0.083052,0.077562,3.79996,0.197054,0.034609,0.031461,0.153665,0.21675,4010.957035,26.986367
0.061209,0.041532,0.081674,-48.537525,2.150398,1.212649,0.643488,-0.231417,-0.283262,6.334666,0.362212,0.116363,0.59081,1.05901,0.534507,0.529757,0.262109,0.40526,0.397433,0.201545,0.055052,0.027265,0.24156,0.262937,0.367963,0.39182,0.100087,0.093988,0.133986,3.505998,0.192368,0.043367,0.037417,0.156372,0.21536,11522.324379,27.35185
0.056388,0.043041,0.073226,-50.979476,1.223644,0.578041,0.129781,-0.119244,0.08681,6.650803,0.384354,0.147596,0.485527,0.918656,0.571107,0.572273,0.605893,0.419284,0.441242,0.199748,0.050309,0.019084,0.237037,0.269807,0.416121,0.696804,0.151843,0.084863,0.130735,3.961611,0.262803,0.061068,0.045614,0.150829,0.209012,8344.197119,29.127694
0.055759,0.044275,0.080936,-54.151434,2.055352,0.475568,0.736856,0.444388,0.424612,7.050131,0.336032,0.128544,0.519817,0.979155,0.545464,0.471034,0.454356,0.379578,0.454658,0.201951,0.05409,0.017869,0.312854,0.360953,0.429393,0.581567,0.115297,0.077132,0.080538,4.211265,0.245911,0.04737,0.037633,0.15008,0.215616,5171.64559,8.020269
0.054697,0.042202,0.070273,-55.36308,1.052905,0.610706,0.793863,-0.102619,0.06452,6.246637,0.393148,0.132134,0.524736,1.072282,0.530302,0.508208,0.564672,0.315,0.381898,0.162525,0.050979,0.02912,0.260659,0.447932,0.49346,1.05927,0.140541,0.157795,0.119103,4.848701,0.313227,0.051626,0.055499,0.157192,0.218515,6212.397002,24.886208
