@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_3 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_C numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Average numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_13 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_15 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_F# numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_14 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_19 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric
@attribute output {happy,nothappy}

@data

0.09414,-50.058057,-0.619199,1.84958,3.737005,0.182144,0.205717,0.498861,-7.212557,0.508029,0.2049,0.177095,0.170932,5.616059,0.822658,0.331571,0.250861,0.000019,0.54831,0.166927,0.418006,0.499745,1.571827,0.111008,0.099467,0.068633,0.078411,0.063582,0.050424,0.061067,0.07274,0.090715,4.098397,0.000051,0.306138,0.129557,0.172088,0.039414,0.019927,0.024067,0.028562,0.022617,0.022091,0.211978,14.458916,17.107867,21.600778,1.003377,happy
0.08137,-50.748654,-0.464017,2.094491,3.739734,0.163084,0.196863,0.414137,-5.897223,0.478512,0.203091,0.184807,0.173971,5.805813,1.071151,0.292587,0.243168,0.00003,0.476925,0.182785,0.476151,0.545829,2.247384,0.115042,0.108969,0.123534,0.086792,0.078227,0.039877,0.053807,0.073598,0.09036,4.261585,0.000036,0.242734,0.122386,0.171301,0.032073,0.025133,0.026993,0.028631,0.027335,0.022337,0.210004,18.843694,18.954225,31.614896,1.004728,happy
0.073945,-48.918863,0.337406,1.96488,4.103616,0.21717,0.174671,0.451521,-5.248379,0.620416,0.227015,0.214958,0.207747,6.025717,1.282955,0.325515,0.258836,0.000064,0.568167,0.196605,0.600234,0.58961,1.654649,0.091112,0.105521,0.103054,0.074021,0.084521,0.039791,0.060633,0.070032,0.088224,4.66675,0.000281,0.283866,0.183897,0.249432,0.041434,0.029265,0.027187,0.023376,0.028679,0.025963,0.213598,21.256617,36.760224,25.518037,1.005094,happy
0.083142,-47.375959,0.129671,1.765859,3.521491,0.325389,0.179041,0.492882,-3.429766,0.492377,0.188983,0.172624,0.164319,5.406472,0.843152,0.356922,0.136952,0.000131,0.336762,0.202208,0.36186,0.524669,1.800718,0.087198,0.075855,0.069287,0.058819,0.065571,0.038784,0.063601,0.086486,0.108555,3.758393,0.000162,0.187368,0.122427,0.171651,0.042984,0.025615,0.024305,0.019559,0.02798,0.02346,0.214062,25.33775,37.351526,35.375645,1.003779,happy
0.080899,-47.592385,1.670243,1.749547,4.327549,0.23988,0.171015,0.495157,-2.976549,0.492964,0.193402,0.194208,0.190625,5.529649,0.830569,0.25675,0.472132,0.000116,0.474664,0.199168,0.506683,0.735502,1.699995,0.092293,0.144283,0.114692,0.08468,0.0812,0.039665,0.073739,0.085766,0.097629,3.571857,0.000091,0.330566,0.179274,0.223929,0.043156,0.030227,0.026631,0.030936,0.028995,0.024853,0.216139,47.12276,88.582952,35.674553,1.007946,happy
0.042933,-47.647988,-0.43877,1.782571,3.858887,0.372609,0.161975,0.453491,-16.423166,0.379618,0.175104,0.146477,0.149812,5.559274,0.715041,0.231943,0.211288,0.000053,0.228713,0.206341,0.336445,0.553222,1.507084,0.091954,0.088241,0.079224,0.084108,0.068171,0.0315,0.05425,0.0702,0.081943,3.690225,0.000051,0.143012,0.115687,0.240926,0.034101,0.020693,0.02688,0.014109,0.023698,0.018475,0.213072,16.239753,19.738029,21.953136,1.002482,happy
0.048972,-46.952387,0.350106,1.82777,3.428484,0.242295,0.160122,0.449686,-4.60551,0.432959,0.210376,0.192008,0.185706,5.416598,0.704313,0.309026,0.181658,0.000065,0.34706,0.173985,0.39801,0.508554,1.477057,0.111081,0.091228,0.085811,0.078631,0.082075,0.038704,0.055983,0.072469,0.09149,3.455664,0.000055,0.252605,0.11734,0.266306,0.03382,0.029863,0.025981,0.029917,0.030799,0.026348,0.214633,24.616634,28.426477,45.069559,1.004192,happy
0.070677,-42.169372,-0.118158,1.95447,3.025803,0.293385,0.168224,0.512771,-2.599181,0.410284,0.200282,0.167993,0.158183,4.950484,0.583322,0.256334,0.140966,0.000227,0.216109,0.175675,0.355597,0.389296,1.130526,0.09098,0.084083,0.068591,0.068266,0.062624,0.04145,0.06202,0.076261,0.090139,3.117868,0.000113,0.150139,0.135761,0.129411,0.037833,0.030296,0.029171,0.030627,0.027227,0.026599,0.217283,54.332811,81.718183,73.514607,1.004049,happy
0.075896,-43.067076,-0.018898,2.003008,4.042449,0.227857,0.175517,0.471481,-5.19127,0.507494,0.179386,0.170246,0.161547,5.185713,0.79998,0.285127,0.299573,0.000431,0.371272,0.166214,0.492294,0.694401,2.214687,0.131135,0.134121,0.063363,0.103231,0.09064,0.039391,0.068012,0.074624,0.088749,3.295341,0.000285,0.215416,0.115161,0.362299,0.043188,0.039311,0.034462,0.028448,0.025399,0.021133,0.209973,31.189672,43.721051,45.061173,1.002659,happy
